survived,pclass,sex,age,fare
1.0,1.0,0.0,34.0,26.55
0.0,3.0,0.0,36.0,7.4958
0.0,1.0,0.0,42.0,52.0
1.0,3.0,0.0,20.0,7.925
0.0,1.0,0.0,65.0,26.55
0.0,3.0,0.0,21.0,7.8958
0.0,1.0,0.0,45.0,83.475
1.0,3.0,0.0,7.0,15.2458
0.0,1.0,0.0,33.0,5.0
0.0,3.0,1.0,23.0,7.925
0.0,2.0,0.0,19.0,13.0
1.0,1.0,1.0,30.0,93.5
1.0,1.0,0.0,53.0,81.8583
0.0,3.0,0.0,38.0,7.8958
0.0,3.0,1.0,18.5,7.2833
1.0,3.0,1.0,31.0,8.6833
0.0,3.0,0.0,32.0,22.525
0.0,3.0,1.0,45.0,14.4542
1.0,2.0,1.0,55.0,16.0
1.0,3.0,1.0,22.0,7.775
1.0,1.0,0.0,49.0,56.9292
1.0,1.0,0.0,31.0,57.0
0.0,2.0,1.0,26.0,26.0
1.0,3.0,1.0,22.0,12.2875
0.0,1.0,0.0,71.0,34.6542
0.0,3.0,0.0,25.0,7.65
0.0,2.0,0.0,57.0,13.0
0.0,1.0,0.0,46.0,61.175
0.0,3.0,0.0,24.0,8.6625
1.0,2.0,0.0,26.0,29.0
1.0,1.0,0.0,48.0,52.0
0.0,3.0,0.0,21.0,7.8542
0.0,3.0,0.0,44.0,8.05
1.0,2.0,1.0,42.0,26.0
0.0,1.0,0.0,45.0,26.55
0.0,3.0,0.0,20.0,4.0125
0.0,2.0,0.0,28.0,33.0
0.0,2.0,0.0,28.0,13.0
0.0,1.0,0.0,57.0,164.8667
0.0,3.0,0.0,37.0,7.925
1.0,2.0,1.0,2.0,26.0
1.0,3.0,0.0,25.0,7.65
0.0,3.0,0.0,28.0,7.8542
1.0,1.0,1.0,36.0,120.0
0.0,3.0,0.0,19.0,7.8958
1.0,3.0,0.0,44.0,7.925
1.0,1.0,1.0,25.0,55.4417
0.0,3.0,0.0,19.0,0.0
1.0,1.0,0.0,28.0,26.55
1.0,1.0,1.0,37.0,90.0
1.0,3.0,0.0,12.0,11.2417
0.0,2.0,0.0,54.0,14.0
1.0,2.0,1.0,30.0,12.35
0.0,3.0,0.0,59.0,7.25
0.0,1.0,0.0,46.0,26.0
1.0,1.0,0.0,32.0,30.5
1.0,3.0,1.0,23.0,8.05
1.0,2.0,1.0,26.0,13.5
0.0,2.0,1.0,24.0,13.0
0.0,3.0,0.0,18.0,8.6625
1.0,3.0,0.0,30.0,9.5
1.0,1.0,1.0,35.0,512.3292
1.0,3.0,1.0,1.0,16.7
0.0,2.0,0.0,25.0,10.5
0.0,2.0,0.0,34.0,26.0
0.0,3.0,0.0,6.0,21.075
1.0,1.0,1.0,35.0,90.0
0.0,3.0,0.0,24.0,7.25
0.0,3.0,0.0,29.0,7.8542
0.0,3.0,0.0,20.0,7.8542
0.0,1.0,0.0,54.0,51.8625
0.0,3.0,0.0,19.0,7.8958
1.0,1.0,1.0,24.0,263.0
0.0,3.0,0.0,20.5,7.25
0.0,2.0,0.0,40.0,16.0
0.0,2.0,0.0,30.0,26.0
0.0,3.0,0.0,28.0,56.4958
0.0,3.0,1.0,31.0,18.0
0.0,3.0,0.0,43.0,7.8958
0.0,3.0,0.0,20.0,9.8458
0.0,3.0,0.0,40.0,27.9
1.0,1.0,1.0,22.0,59.4
0.0,3.0,1.0,28.0,7.775
0.0,1.0,0.0,70.0,71.0
0.0,3.0,1.0,30.0,15.55
1.0,2.0,1.0,0.9167,27.75
0.0,3.0,1.0,26.0,16.1
1.0,1.0,1.0,18.0,53.1
0.0,1.0,0.0,50.0,106.425
1.0,3.0,0.0,20.0,7.925
0.0,3.0,0.0,36.0,7.25
1.0,2.0,1.0,20.0,26.0
0.0,3.0,0.0,32.0,15.85
0.0,3.0,0.0,20.0,7.225
1.0,1.0,1.0,50.0,211.5
1.0,3.0,1.0,47.0,7.0
0.0,3.0,0.0,20.0,9.5
0.0,3.0,0.0,22.0,7.775
0.0,3.0,0.0,26.0,7.8875
1.0,3.0,1.0,30.0,6.95
